sep=;
From#;From Name;To# - Circ#;To Name;Area;Owner;Resistance (pu);Reactance (pu);Line Charg. (pu);Normal Rat.(MVA);Overl. Rat.(MVA);Emerg. Rat.(MVA);ShtF On;GSht From (MW);BSht From (Mvar);ShtT On;GSht To (MW);BSht To (Mvar);Brk From;Brk To;Monitored;R0 (pu);X0 (pu);Type;Name
101;ARARAQ-SP500;4598    # 01;MARIM2-SP500;202;0;0.00179;0.02762;2.36420;1855.0;2337.0;1855.0;1/ 1;0.0;-73.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00537;0.08286;TL;ARARAQ-SP500 - MARIM2-S 
101;ARARAQ-SP500;4598    # 02;MARIM2-SP500;202;0;0.00178;0.02748;2.36830;1855.0;2337.0;1855.0;1/ 1;0.0;-73.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00534;0.08244;TL;ARARAQ-SP500 - MARIM2-S 
102;P.CALD-MG500;1503    # 01;ITAJU3-MG500;351;0;0.00129;0.01993;1.67700;1855.0;2337.0;1855.0;1/ 1;0.0;-136.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00387;0.05979;TL;P.CALD-MG500 - ITAJU3-M 
103;CAMPIN-SP500;609    # 01;F.DIAS-SP500;202;0;0.00060;0.00946;0.76260;1855.0;2337.0;1855.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00180;0.02838;TL;CAMPIN-SP500 - F.DIAS-S 
103;CAMPIN-SP500;6609    # 01;ITATIB-SP500;202;0;0.00024;0.00368;0.31700;1855.0;2337.0;54.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00072;0.01104;TL;CAMPIN-SP500 - ITATIB-S 
103;CAMPIN-SP500;6609    # 02;ITATIB-SP500;202;0;0.00017;0.00267;0.38833;2477.0;3464.0;2337.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00051;0.00801;TL;CAMPIN-SP500 - ITATIB-S 
104;C.PAUL-SP500;27    # 01;CPAUL2-SP500;202;0;0.00001;0.00001;0.00000;9999.0;9999.0;9999.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00001;0.00001;SWITCH;C.PAUL-SP500 - CPAUL2-S 
104;C.PAUL-SP500;598    # 01;TAUBAT-SP500;202;0;0.00075;0.01150;0.98900;1855.0;2252.0;1855.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00225;0.03450;TL;C.PAUL-SP500 - TAUBAT-S 
104;C.PAUL-SP500;609    # 01;F.DIAS-SP500;202;0;0.00148;0.02347;1.93310;1855.0;2337.0;1855.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00444;0.07041;TL;C.PAUL-SP500 - F.DIAS-S 
104;C.PAUL-SP500;9626    # 01;BF-----RJ500;202;0;0.00098;0.01680;2.52040;2473.0;2598.0;72.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00294;0.05040;TL;C.PAUL-SP500 - BF-----R 
105;ANGRA--RJ500;27    # 01;CPAUL2-SP500;251;0;0.00093;0.01456;1.22540;1855.0;2337.0;2337.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00279;0.04368;TL;ANGRA--RJ500 - CPAUL2-S 
105;ANGRA--RJ500;9601    # 01;Z.OEST-RJ500;251;0;0.00092;0.01363;1.15340;1855.0;2337.0;36.0;1/ 1;0.0;-136.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00276;0.04089;TL;ANGRA--RJ500 - Z.OEST-R 
105;ANGRA--RJ500;9608    # 01;N.IGUA-RJ500;251;0;0.00101;0.01518;1.27820;1855.0;2337.0;1855.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00303;0.04554;TL;ANGRA--RJ500 - N.IGUA-R 
106;ADRIAN-RJ500;108    # 01;S.JOSE-RJ500;251;0;0.00019;0.00389;0.42100;2598.0;2598.0;2598.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00057;0.01167;TL;ADRIAN-RJ500 - S.JOSE-R 
106;ADRIAN-RJ500;109    # 01;BYPSAD-RJ500;251;0;0.00001;0.00001;0.00000;9999.0;9999.0;69.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00001;0.00001;SWITCH;ADRIAN-RJ500 - BYPSAD-R 
107;GRAJAU-RJ500;109    # 01;BYPSAD-RJ500;251;0;0.00033;0.00673;0.72576;2598.0;2598.0;476.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00099;0.02019;TL;GRAJAU-RJ500 - BYPSAD-R 
109;BYPSAD-RJ500;9626    # 01;BF-----RJ500;251;0;0.00012;0.00193;0.29698;2473.0;2598.0;72.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00036;0.00579;TL;BYPSAD-RJ500 - BF-----R 
115;BA-IT1CAP500;6609    # 01;ITATIB-SP500;101;0;0.00263;0.04250;6.59000;2910.0;3668.0;2616.0;1/ 1;0.0;-81.6;1/ 1;0.0;-90.0;Closed;Closed;YES;0.00789;0.12750;TL;BA-IT1CAP500 - ITATIB-S 
116;IMBTAP-RJ138;172    # 01;IMBARE-RJ138;256;0;0.00130;0.00720;0.00207;145.0;145.0;145.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Opened;Opened;YES;0.00390;0.02160;TL;IMBTAP-RJ138 - IMBARE-R 
116;IMBTAP-RJ138;173    # 01;ADRIAN-RJ138;256;0;0.00620;0.03610;0.01033;153.0;193.0;146.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.01860;0.10830;TL;IMBTAP-RJ138 - ADRIAN-R 
117;CAMPO2-RJ500;4353    # 01;MUTUM--MG500;251;0;0.00135;0.02435;3.61210;2802.0;3403.0;2802.0;1/ 1;0.0;-60.0;1/ 1;0.0;-60.0;Closed;Closed;YES;0.00405;0.07305;TL;CAMPO2-RJ500 - MUTUM--M 
117;CAMPO2-RJ500;4353    # 02;MUTUM--MG500;251;0;0.00135;0.02435;3.61210;2802.0;3403.0;2802.0;1/ 1;0.0;-60.0;1/ 1;0.0;-60.0;Closed;Closed;YES;0.00405;0.07305;TL;CAMPO2-RJ500 - MUTUM--M 
120;P.CALD-MG345;126    # 01;GUARUL-SP345;352;0;0.00600;0.05950;0.92800;776.0;977.0;853.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.01800;0.17850;TL;P.CALD-MG345 - GUARUL-S 
120;P.CALD-MG345;126    # 02;GUARUL-SP345;352;0;0.00606;0.06020;0.93800;776.0;977.0;853.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.01818;0.18060;TL;P.CALD-MG345 - GUARUL-S 
120;P.CALD-MG345;697    # 01;ATIBA2-SP345;352;0;0.00394;0.04390;0.74850;853.0;1075.0;33.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.01182;0.13170;TL;P.CALD-MG345 - ATIBA2-S 
122;IBIUNA-SP500;6609    # 01;ITATIB-SP500;202;0;0.00079;0.01214;1.03200;1855.0;2337.0;1855.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00237;0.03642;TL;IBIUNA-SP500 - ITATIB-S 
