sep=;
From#;From Name;To# - Circ#;To Name;Area;Owner;Type;Resistance (pu);Reactance (pu);Normal Rat.(MVA);Overl. Rat.(MVA);Emerg. Rat.(MVA);Tap (pu);Phase Shift (deg);CBus;CBus Name;Tap or Phs Min;Tap or Phs Max;V or Flow Max;V or Flow Min;ShtF On;GSht From (MW);BSht From (Mvar);ShtT On;GSht To (MW);BSht To (Mvar);Brk From;Brk To;Monitored;Connection;R0;X0;Name
104;C.PAUL-SP500;41666   #59;CPAT59-SP000;202;0;Trafo;0.00000;0.04949;250.0;270.0;250.0;1.05000;0.00;;;1.050 pu;1.050 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.04949;C.PAUL-SP500 - CPAT59-S 
105;ANGRA--RJ500;10   #01;ANGRA1UNE001;251;0;Trafo;0.00000;0.01970;759.0;759.0;759.0;1.07500;0.00;;;1.075 pu;1.075 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnD;0.00000;0.01970;ANGRA--RJ500 - ANGRA1UN 
105;ANGRA--RJ500;11   #01;ANGRA2UNE001;251;0;Trafo;0.00000;0.00950;1450.0;1450.0;1450.0;1.10000;0.00;;;1.100 pu;1.100 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnD;0.00000;0.00950;ANGRA--RJ500 - ANGRA2UN 
105;ANGRA--RJ500;42401   #58;ANGRA--RJ000;251;0;Trafo;0.00000;0.03988;400.0;400.0;210.0;1.05000;0.00;;;1.050 pu;1.050 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.03988;ANGRA--RJ500 - ANGRA--R 
106;ADRIAN-RJ500;139   #51;ADRT51-RJ000;251;0;Trafo;0.00000;0.01962;560.0;644.0;2598.0;1.05000;0.00;;;1.050 pu;1.050 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.01962;ADRIAN-RJ500 - ADRT51-R 
106;ADRIAN-RJ500;141   #53;ADRT53-RJ000;251;0;Trafo;0.00000;0.03042;560.0;672.0;560.0;1.05000;0.00;;;1.050 pu;1.050 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.03042;ADRIAN-RJ500 - ADRT53-R 
106;ADRIAN-RJ500;142   #55;ADRT55-RJ000;251;0;Trafo;0.00000;0.02930;560.0;717.0;560.0;1.05000;0.00;;;1.050 pu;1.050 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.02930;ADRIAN-RJ500 - ADRT55-R 
107;GRAJAU-RJ500;110   #52;GR1T52-RJ000;251;0;Trafo;0.00000;0.02141;600.0;720.0;1524.0;1.05000;0.00;;;1.050 pu;1.050 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.02141;GRAJAU-RJ500 - GR1T52-R 
107;GRAJAU-RJ500;179   #54;GR2T54-RJ000;251;0;Trafo;0.00000;0.02150;600.0;720.0;130.0;1.05000;0.00;;;1.050 pu;1.050 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.02150;GRAJAU-RJ500 - GR2T54-R 
107;GRAJAU-RJ500;42407   #56;GR1T56-RJ000;251;0;Trafo;0.00000;0.02142;600.0;720.0;600.0;1.05000;0.00;;;1.050 pu;1.050 pu;0.000 pu;0.000 pu;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;YnYn;0.00000;0.02142;GRAJAU-RJ500 - GR1T56-R 
